# _tick,_time,frames,mean_episode_return_0,loss_0
188,1760608119.7491436,601600,-0.09369707852602005,0.8210313320159912
189,1760608120.4270673,604800,-0.09376562386751175,0.8023886680603027
190,1760608121.1563013,608000,-0.09377612918615341,0.7925848960876465
191,1760608121.825577,611200,-0.09399417787790298,0.8064380884170532
192,1760608122.4423304,614400,-0.09402258694171906,0.7991368174552917
193,1760608123.176248,617600,-0.09369685500860214,0.7896908521652222
194,1760608123.9458022,620800,-0.09379264712333679,0.803026556968689
195,1760608124.6411088,624000,-0.09270145744085312,0.8218078017234802
196,1760608125.2719665,627200,-0.09252707660198212,0.7902167439460754
197,1760608126.031578,630400,-0.09248387068510056,0.7942986488342285
198,1760608126.679879,633600,-0.09293869137763977,0.7790186405181885
199,1760608127.4207435,636800,-0.09288263320922852,0.7903207540512085
200,1760608128.0375874,640000,-0.09291946142911911,0.8044815063476562
201,1760608128.5752175,643200,-0.09318539500236511,0.7574800848960876
202,1760608129.2966256,646400,-0.09297139197587967,0.788025438785553
203,1760608130.1157706,649600,-0.09310542792081833,0.7831511497497559
204,1760608130.934439,652800,-0.09322430938482285,0.7882016897201538
205,1760608131.6882715,656000,-0.09314946830272675,0.806182324886322
206,1760608132.4025645,659200,-0.09368075430393219,0.7682610154151917
207,1760608133.117893,662400,-0.09382763504981995,0.8494031429290771
208,1760608133.870092,665600,-0.09409523010253906,0.843564510345459
209,1760608134.6588252,668800,-0.09579858928918839,0.8328526020050049
210,1760608135.477913,672000,-0.0960603803396225,0.8163154721260071
211,1760608136.2541795,675200,-0.0960008054971695,0.8094385266304016
212,1760608136.83683,678400,-0.0957707017660141,0.8149917721748352
213,1760608137.593636,681600,-0.09570026397705078,0.7894640564918518
214,1760608138.1172113,684800,-0.09612460434436798,0.7911621332168579
215,1760608138.2489119,688000,-0.0964493378996849,0.8089420795440674
216,1760608138.9421253,691200,-0.0961698517203331,0.7958421111106873
217,1760608139.5993202,694400,-0.09601990878582001,0.7966126203536987
218,1760608140.280217,697600,-0.09535247087478638,0.7985237240791321
219,1760608140.8531983,700800,-0.0952223390340805,0.8575848937034607
220,1760608141.365509,704000,-0.0954357236623764,0.8265354037284851
221,1760608142.0107336,707200,-0.09570775181055069,0.8229326605796814
222,1760608142.6366773,710400,-0.09552069753408432,0.8076941967010498
223,1760608143.29312,713600,-0.0953696072101593,0.7963064312934875
224,1760608144.0046957,716800,-0.09531081467866898,0.7980267405509949
225,1760608144.6583276,720000,-0.09471992403268814,0.7950229048728943
226,1760608145.4595485,723200,-0.09423563629388809,0.8034899234771729
227,1760608146.2936215,726400,-0.09368163347244263,0.8033313155174255
228,1760608146.8475459,729600,-0.09347458928823471,0.7884495258331299
229,1760608147.4622977,732800,-0.09364437311887741,0.811583399772644
230,1760608148.0080085,736000,-0.0934588834643364,0.7801620364189148
231,1760608148.6195178,739200,-0.09321600943803787,0.8037896156311035
232,1760608149.2587626,742400,-0.0935601070523262,0.7908412218093872
233,1760608150.0803137,745600,-0.09378917515277863,0.8078265190124512
234,1760608150.5859437,748800,-0.09555968642234802,0.8353307247161865
235,1760608151.2095063,752000,-0.09553446620702744,0.8578314185142517
236,1760608151.9742239,755200,-0.09571605920791626,0.8229190111160278
237,1760608152.6420834,758400,-0.09600052237510681,0.7983284592628479
